"id","year","temperaturamnimaextrema_acum","latitud","longitud","geom"
64,"2012",0.1,19.519722,-98.269165,POINT (-98.2691650390625 19.51972198486328)
65,"2012",0.1,19.622778,-97.81416,POINT (-97.81416320800781 19.622777938842773)
66,"2012",0.1,19.6975,-97.5475,POINT (-97.54750061035156 19.697500228881836)
67,"2012",0.1,20.374722,-99.80889,POINT (-99.80889129638672 20.37472152709961)
68,"2012",0.1,25.366945,-100.62055,POINT (-100.62055206298828 25.366945266723633)
69,"2012",0.2,19.7375,-102.07917,POINT (-102.07917022705078 19.737499237060547)
70,"2012",0.2,19.780277,-99.686386,POINT (-99.68638610839844 19.780277252197266)
71,"2012",0.2,19.825,-99.79083,POINT (-99.79083251953125 19.825000762939453)
72,"2012",0.2,22.649723,-103.69972,POINT (-103.69972229003906 22.649723052978516)
73,"2012",0.3,19.34639,-97.45611,POINT (-97.45610809326172 19.346389770507812)
74,"2012",0.3,23.285555,-101.21083,POINT (-101.21083068847656 23.285554885864258)
75,"2012",0.3,23.497778,-102.13361,POINT (-102.13361358642578 23.497777938842773)
76,"2012",0.3,24.44389,-105.785,POINT (-105.78500366210938 24.443889617919922)
77,"2012",0.3,25.208055,-100.82972,POINT (-100.82971954345703 25.20805549621582)
78,"2012",0.4,19.2925,-99.922226,POINT (-99.92222595214844 19.292499542236328)
79,"2012",0.4,20.154722,-98.27389,POINT (-98.27388763427734 20.154722213745117)
80,"2012",0.4,26.084167,-105.565834,POINT (-105.56583404541016 26.08416748046875)
81,"2012",0.5,19.291111,-99.714165,POINT (-99.71416473388672 19.29111099243164)
82,"2012",0.5,19.48611,-97.26417,POINT (-97.26416778564453 19.48611068725586)
83,"2012",0.5,19.614721,-97.501114,POINT (-97.50111389160156 19.614721298217773)
84,"2012",0.5,19.711111,-99.78889,POINT (-99.78888702392578 19.711111068725586)
85,"2012",0.5,19.753056,-99.64,POINT (-99.63999938964844 19.753055572509766)
86,"2012",0.5,19.875,-99.735,POINT (-99.73500061035156 19.875)
87,"2012",0.5,21.643055,-101.47889,POINT (-101.47888946533203 21.643054962158203)
88,"2012",0.5,22.844723,-103.3825,POINT (-103.38249969482422 22.844722747802734)
89,"2012",0.5,28.771667,-107.255554,POINT (-107.25555419921875 28.77166748046875)
90,"2012",0.6,19.171944,-99.806114,POINT (-99.80611419677734 19.17194366455078)
91,"2012",0.6,19.47611,-99.71445,POINT (-99.71444702148438 19.476110458374023)
92,"2012",0.6,20.050833,-100.149445,POINT (-100.14944458007812 20.050832748413086)
93,"2012",0.6,22.911667,-103.27805,POINT (-103.2780532836914 22.911666870117188)
94,"2012",0.7,19.524445,-99.74139,POINT (-99.74138641357422 19.524444580078125)
95,"2012",0.7,19.616388,-99.668335,POINT (-99.6683349609375 19.61638832092285)
96,"2012",0.7,19.669167,-99.83083,POINT (-99.8308334350586 19.669166564941406)
97,"2012",0.7,22.686111,-103.6025,POINT (-103.60250091552734 22.686111450195312)
98,"2012",0.8,19.405,-99.56306,POINT (-99.56305694580078 19.405000686645508)
99,"2012",0.8,19.471945,-98.345276,POINT (-98.34527587890625 19.47194480895996)
100,"2012",0.8,19.514723,-99.728615,POINT (-99.7286148071289 19.51472282409668)
101,"2012",0.8,19.839445,-98.032776,POINT (-98.03277587890625 19.839445114135742)
102,"2012",0.8,19.953888,-98.325836,POINT (-98.32583618164062 19.953887939453125)
103,"2012",0.8,21.079721,-101.60667,POINT (-101.6066665649414 21.079721450805664)
104,"2012",0.8,22.940834,-102.4875,POINT (-102.48750305175781 22.940834045410156)
105,"2012",0.8,25.129168,-106.3625,POINT (-106.36250305175781 25.129167556762695)
106,"2012",0.9,19.155834,-99.90722,POINT (-99.90721893310547 19.155834197998047)
107,"2012",0.9,19.885834,-99.555,POINT (-99.55500030517578 19.885833740234375)
108,"2012",1.0,19.29889,-97.76972,POINT (-97.76972198486328 19.29888916015625)
109,"2012",1.0,19.415556,-98.14,POINT (-98.13999938964844 19.415555953979492)
110,"2012",1.0,22.806944,-99.84167,POINT (-99.84166717529297 22.806943893432617)
111,"2012",1.0,31.228333,-110.59333,POINT (-110.59333038330078 31.22833251953125)
112,"2012",1.1,20.03861,-99.86444,POINT (-99.86444091796875 20.038610458374023)
113,"2012",1.1,22.1775,-102.58611,POINT (-102.58611297607422 22.177499771118164)
114,"2012",1.2,19.199722,-97.9075,POINT (-97.90750122070312 19.199722290039062)
115,"2012",1.2,19.326666,-98.36611,POINT (-98.3661117553711 19.3266658782959)
116,"2012",1.2,19.512222,-97.11806,POINT (-97.11805725097656 19.512222290039062)
117,"2012",1.2,19.596945,-98.63194,POINT (-98.63194274902344 19.59694480895996)
118,"2012",1.2,19.679167,-100.74167,POINT (-100.74166870117188 19.679166793823242)
119,"2012",1.2,19.908611,-99.12639,POINT (-99.12638854980469 19.908611297607422)
120,"2012",1.2,20.044445,-98.36833,POINT (-98.36833190917969 20.044445037841797)
121,"2012",1.2,20.126944,-99.740555,POINT (-99.74055480957031 20.126943588256836)
122,"2012",1.2,20.440556,-99.37417,POINT (-99.3741683959961 20.440555572509766)
123,"2012",1.2,22.306944,-103.56167,POINT (-103.5616683959961 22.306943893432617)
124,"2012",1.2,23.33639,-104.1675,POINT (-104.1675033569336 23.336389541625977)
125,"2012",1.2,26.126944,-105.01667,POINT (-105.01667022705078 26.126943588256836)
126,"2012",1.2,28.715279,-107.245834,POINT (-107.24583435058594 28.71527862548828)
127,"2012",1.2,30.631945,-109.97,POINT (-109.97000122070312 30.63194465637207)
128,"2012",1.3,19.198334,-99.64833,POINT (-99.64833068847656 19.198333740234375)
129,"2012",1.3,19.338888,-99.684166,POINT (-99.68416595458984 19.33888816833496)
130,"2012",1.3,21.835278,-102.1825,POINT (-102.18250274658203 21.835277557373047)
131,"2012",1.3,25.026388,-100.548615,POINT (-100.54861450195312 25.02638816833496)
132,"2012",1.4,19.261389,-98.37055,POINT (-98.37055206298828 19.261388778686523)
133,"2012",1.4,19.267221,-99.95028,POINT (-99.95027923583984 19.267221450805664)
134,"2012",1.4,19.586666,-98.4275,POINT (-98.42749786376953 19.586666107177734)
135,"2012",1.4,21.22,-100.49611,POINT (-100.49610900878906 21.219999313354492)
136,"2012",1.4,21.555,-101.409164,POINT (-101.40916442871094 21.55500030517578)
137,"2012",1.4,22.668612,-101.12945,POINT (-101.12944793701172 22.668611526489258)
138,"2012",1.4,22.996944,-102.66055,POINT (-102.66055297851562 22.996944427490234)
139,"2012",1.4,23.964445,-104.735,POINT (-104.73500061035156 23.964445114135742)
140,"2012",1.4,24.517778,-99.97972,POINT (-99.97972106933594 24.517778396606445)
141,"2012",1.4,28.366667,-108.933334,POINT (-108.93333435058594 28.366666793823242)
142,"2012",1.5,19.161945,-98.40639,POINT (-98.40638732910156 19.161945343017578)
143,"2012",1.5,19.234444,-99.80805,POINT (-99.80805206298828 19.23444366455078)
144,"2012",1.5,19.400833,-99.945,POINT (-99.94499969482422 19.400833129882812)
145,"2012",1.5,19.55611,-99.9475,POINT (-99.94750213623047 19.556110382080078)
146,"2012",1.5,19.586111,-98.56389,POINT (-98.56388854980469 19.586111068725586)
147,"2012",1.5,19.5925,-98.12556,POINT (-98.12555694580078 19.592500686645508)
148,"2012",1.5,25.544167,-100.523056,POINT (-100.52305603027344 25.544166564941406)
149,"2012",1.5,26.247778,-104.91944,POINT (-104.91944122314453 26.247777938842773)
150,"2012",1.6,19.411112,-99.69945,POINT (-99.69944763183594 19.41111183166504)
151,"2012",1.6,19.861666,-99.9175,POINT (-99.9175033569336 19.861665725708008)
152,"2012",1.7,18.885,-98.69028,POINT (-98.69027709960938 18.885000228881836)
153,"2012",1.7,19.559166,-99.6,POINT (-99.5999984741211 19.559165954589844)
154,"2012",1.7,19.750834,-98.94945,POINT (-98.94944763183594 19.75083351135254)
155,"2012",1.7,19.987223,-98.297226,POINT (-98.29722595214844 19.98722267150879)
156,"2012",1.7,20.133055,-98.66917,POINT (-98.6691665649414 20.133054733276367)
157,"2012",1.7,20.176666,-98.64528,POINT (-98.64527893066406 20.176666259765625)
158,"2012",1.7,22.925833,-103.11278,POINT (-103.11277770996094 22.925832748413086)
