lluviatotalmensual_ACUM,latitud,longitud
1001.3,18.9525,-99.55194444
716.62,18.95555556,-98.27527778
707.44,18.96722222,-103.3952778
837.9,18.96777778,-99.65611111
703.82,18.96888889,-97.95833333
2088.51,18.97277778,-91.17583333
812.09,18.97388889,-99.48472222
1861,18.97888889,-88.21333333
543.3,18.98277778,-103.5308333
590.1,18.98277778,-97.35222222
407.62,18.98388889,-97.44166667
498,18.98472222,-99.85638889
570.2,18.98805556,-102.1030556
1006.8,18.98972222,-99.75583333
992.66,18.99083333,-99.42083333
389.43,18.99388889,-97.80555556
956,19.00472222,-103.7313889
1360,19.00833333,-88.83333333
1452.8,19.01,-98.96
558.82,19.0125,-102.2
707.35,19.0125,-98.19305556
26.9,19.01972222,-97.45055556
10,19.02194444,-88.11083333
759.55,19.02222222,-96.61388889
362.8,19.02333333,-97.56694444
760.2,19.02416667,-98.21555556
74,19.02694444,-98.77972222
657.4,19.03666667,-99.25805556
1459.94,19.03916667,-99.09388889
1036.95,19.0475,-100.1766667
1067.94,19.04888889,-104.2983333
739.5,19.05,-98.16666667
1213.3,19.05083333,-90.40694444
119.8,19.05333333,-99.87888889
857.3,19.05361111,-101.4205556
856,19.05611111,-103.7863889
137.1,19.05805556,-100.0530556
1560.8,19.05833333,-99.27416667
1473.71,19.06722222,-96.15833333
3632.13,19.0675,-100.0783333
768.64,19.06861111,-98.31805556
566,19.08361111,-98.73833333
548.79,19.08527778,-97.54138889
1290.55,19.08583333,-96.14722222
359.47,19.08694444,-98.88472222
483.12,19.08861111,-102.3508333
796.76,19.09,-98.53166667
1383.52,19.09305556,-98.05944444
1218.39,19.09444444,-96.33888889
854.4,19.09555556,-100.6586111
640.8,19.10027778,-103.6205556
586.24,19.10555556,-98.46361111
745,19.10694444,-99.61722222
698.96,19.11222222,-103.8838889
808.95,19.1125,-97.95611111
696,19.11777778,-103.7455556
1249.81,19.11861111,-99.78138889
839.85,19.11888889,-99.63194444
402.2,19.12972222,-97.73333333
899.15,19.13222222,-98.07777778
494.62,19.13361111,-97.6625
1120.1,19.13444444,-99.17305556
1174.7,19.13472222,-99.93
443.9,19.14055556,-98.77222222
1796.05,19.14472222,-90.47944444
2208.39,19.14611111,-100.0627778
1731.21,19.14666667,-96.95
916.62,19.14777778,-102.3325
1022.92,19.15,-102.225
1160.26,19.15583333,-99.90722222
770.04,19.16194444,-98.40638889
971,19.16194444,-104.2655556
1364.6,19.16194444,-88.10361111
1204.3,19.16222222,-103.5241667
653.7,19.17166667,-103.8608333
356.21,19.17194444,-99.80611111
958.5,19.17638889,-100.2163889
651.86,19.17888889,-99.00277778
898.6,19.18388889,-104.1255556
