temperaturamximaextrema_ACUM,latitud,longitud
29.3,18.94722222,-98.82916667
26.4,18.9525,-99.55194444
29.7,18.95555556,-98.27527778
39.2,18.96722222,-103.3952778
29,18.96777778,-99.65611111
27,18.96888889,-97.95833333
36.2,18.97277778,-91.17583333
26.5,18.97388889,-99.48472222
36.3,18.98277778,-103.5308333
25.2,18.98277778,-97.35222222
27.3,18.98388889,-97.44166667
33.1,18.98472222,-99.85638889
34.3,18.98694444,-98.91972222
37.3,18.98805556,-102.1030556
26,18.98972222,-99.75583333
26.2,18.99083333,-99.42083333
29.2,18.99388889,-97.80555556
36.8,19.00472222,-103.7313889
35.8,19.00833333,-88.83333333
25.1,19.01,-98.96
36.5,19.0125,-102.2
30.8,19.0125,-98.19305556
11,19.01972222,-97.45055556
27,19.02333333,-97.56694444
30.7,19.02416667,-98.21555556
11,19.02694444,-98.77972222
23.2,19.03666667,-99.25805556
24.8,19.03916667,-99.09388889
28.2,19.0475,-100.1766667
34.6,19.04888889,-104.2983333
29.3,19.05,-98.16666667
36.3,19.05083333,-90.40694444
22.2,19.05333333,-99.87888889
38,19.05361111,-101.4205556
37.8,19.05611111,-103.7863889
11,19.05805556,-100.0530556
24.5,19.05833333,-99.27416667
30.3,19.0675,-100.0783333
30.2,19.06861111,-98.31805556
32.7,19.08361111,-98.73833333
27.7,19.08527778,-97.54138889
28.6,19.08694444,-98.88472222
38.2,19.08861111,-102.3508333
29.8,19.09,-98.53166667
28.4,19.09305556,-98.05944444
37.9,19.09555556,-100.6586111
34.8,19.10027778,-103.6205556
27.3,19.10555556,-98.46361111
37.2,19.11222222,-103.8838889
27.3,19.1125,-97.95611111
34.4,19.11777778,-103.7455556
14.9,19.11861111,-99.78138889
23.4,19.11888889,-99.63194444
32.8,19.12972222,-97.73333333
26.4,19.13222222,-98.07777778
21.9,19.13361111,-97.6625
16.7,19.13444444,-99.17305556
24.7,19.14055556,-98.77222222
36,19.14472222,-90.47944444
26.1,19.14611111,-100.0627778
28.2,19.14666667,-96.95
36.1,19.14777778,-102.3325
34.9,19.15,-102.225
24.5,19.15583333,-99.90722222
34.3,19.16194444,-104.2655556
28.8,19.16194444,-98.40638889
