year,lluviatotalmensual_ACUM,latitud,longitud
2012,325.83,23.59722222,-109.5861111
2012,326,22.39583333,-101.8313889
2012,326.6,23.36388889,-110.1652778
2012,327.14,23.89888889,-104.6044444
2012,327.52,29.85638889,-109.3055556
2012,329,21.84194444,-99.64083333
2012,329,24.81,-100.7866667
2012,329.7,23.405,-99.98
2012,330,23.36222222,-100.5541667
2012,330.02,21.92138889,-99.99638889
2012,331.23,27.56027778,-109.8738889
2012,331.58,24.98333333,-102.615
2012,331.74,27.58416667,-110.3244444
2012,331.95,20.47972222,-99.22388889
2012,332.03,27.3,-109.9683333
2012,332.4,20.91916667,-100.4313889
2012,332.9,25.80055556,-100.2755556
2012,333,22.31972222,-101.1766667
